student_id,name,persona,response_speed,hint_usage_rate,forgetting_rate,consistency_score,learning_gain,engagement_level,weekly_availability_minutes,grade_level,learning_goal,device_type,shared_device,connectivity,preferred_session_minutes,placement_completed,profile_quality_flags,data_notice
student-01,Minh,Strong and fast,0.91,0.303,0.084,0.879,0.05,0.657,90,Lớp 6,Tạo trò chơi hỏi–đáp,PERSONAL_COMPUTER,1,UNSTABLE,20,1,,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-02,Lan,Strong but slow,1.55,0.112,0.19,0.69,0.046,0.59,180,Lớp 7,Củng cố tư duy logic,TABLET,0,STABLE,30,1,,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-03,An,Weak in range,1.116,0.274,0.225,0.921,0.077,0.71,180,Lớp 8,Chuẩn bị CLB Tin học,SHARED_PHONE,0,STABLE,45,1,,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-04,Bình,Weak in while,0.973,0.098,0.293,0.741,0.086,0.506,90,Lớp 9,Học theo tốc độ riêng,LIBRARY_COMPUTER,0,STABLE,25,1,,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-05,Chi,Weak prerequisite,0.77,0.294,0.238,0.781,0.088,0.857,60,Lớp 6,Tạo trò chơi hỏi–đáp,PERSONAL_COMPUTER,0,STABLE,40,1,,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-06,Dũng,Frequent hint usage,0.673,0.68,0.268,0.571,0.051,0.599,180,Lớp 7,Củng cố tư duy logic,TABLET,0,OCCASIONAL_OFFLINE,20,1,,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-07,Giang,Inconsistent,1.142,0.219,0.213,0.35,0.085,0.904,60,Lớp 8,Chuẩn bị CLB Tin học,SHARED_PHONE,1,STABLE,30,1,,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-08,Hà,Long inactivity,0.827,0.12,0.42,0.658,0.06,0.924,150,Lớp 9,Học theo tốc độ riêng,LIBRARY_COMPUTER,0,UNSTABLE,45,1,,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-09,Khánh,Sparse data,0.724,0.146,0.193,0.791,0.05,0.81,180,Lớp 6,Tạo trò chơi hỏi–đáp,PERSONAL_COMPUTER,0,STABLE,25,1,SPARSE_HISTORY,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-10,Linh,Strong improvement after review,0.605,0.287,0.101,0.751,0.14,0.503,90,Lớp 7,Củng cố tư duy logic,TABLET,0,STABLE,40,1,,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-11,Mai,Strong and fast,1.4,0.169,0.216,0.756,0.036,0.71,120,Lớp 8,Chuẩn bị CLB Tin học,SHARED_PHONE,0,OCCASIONAL_OFFLINE,20,1,,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-12,Nam,Strong but slow,1.55,0.163,0.088,0.9,0.042,0.792,90,Lớp 9,Học theo tốc độ riêng,LIBRARY_COMPUTER,0,STABLE,30,1,,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-13,Oanh,Weak in range,0.806,0.28,0.234,0.797,0.032,0.843,150,Lớp 6,Tạo trò chơi hỏi–đáp,PERSONAL_COMPUTER,1,STABLE,45,1,,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-14,Phúc,Weak in while,0.925,0.081,0.127,0.948,0.073,0.729,90,Lớp 7,Củng cố tư duy logic,TABLET,0,STABLE,25,1,,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-15,Quân,Weak prerequisite,1.19,0.218,0.081,0.853,0.085,0.889,60,Lớp 8,Chuẩn bị CLB Tin học,SHARED_PHONE,0,UNSTABLE,40,1,,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-16,Sơn,Frequent hint usage,0.83,0.68,0.146,0.777,0.048,0.784,180,Lớp 9,Học theo tốc độ riêng,LIBRARY_COMPUTER,0,OCCASIONAL_OFFLINE,20,1,,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-17,Trang,Inconsistent,1.306,0.343,0.295,0.35,0.044,0.557,120,Lớp 6,Tạo trò chơi hỏi–đáp,PERSONAL_COMPUTER,0,STABLE,30,1,,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-18,Uyên,Long inactivity,1.052,0.267,0.42,0.876,0.058,0.731,120,Lớp 7,Củng cố tư duy logic,TABLET,0,STABLE,45,1,,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-19,Việt,Sparse data,0.678,0.317,0.163,0.811,0.056,0.935,120,Lớp 8,Chuẩn bị CLB Tin học,SHARED_PHONE,1,STABLE,25,0,SPARSE_HISTORY,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-20,Yến,Strong improvement after review,1.442,0.232,0.244,0.818,0.14,0.865,60,Lớp 9,Học theo tốc độ riêng,LIBRARY_COMPUTER,0,STABLE,40,1,,SYNTHETIC DATA — NOT REAL EDUONE DATA
